Epoch, l_theta, l_f, l_top, l_bottom, weight_f, weight_flux
0, 0.09493142307191184, 4.9285638632771666e-06, 1.4411235342686348, 1.022606252195402, 10000000.0, 0.1
1, 0.09584997597440262, 6.944535244086966e-09, 1.4407527420013917, 1.0227808179547146, 10000000.0, 0.1
2, 0.09611505529772815, 1.925553013792079e-06, 1.4404504097948392, 1.0228740222332182, 10000000.0, 0.1
3, 0.09551048688177399, 2.304055009285091e-06, 1.4404420936249072, 1.022880031791937, 10000000.0, 0.1
4, 0.09450612172156332, 1.1683828173078058e-06, 1.4405589491945445, 1.0228419703942164, 10000000.0, 0.1
5, 0.09337966589706326, 2.3216694286235307e-07, 1.440702199629952, 1.0227849217191765, 10000000.0, 0.1
6, 0.0922778375393091, 1.1411839407349462e-08, 1.4408256386441827, 1.0227236928662464, 10000000.0, 0.1
7, 0.09128250724951151, 2.648726475027496e-07, 1.4409187319561838, 1.022668865210012, 10000000.0, 0.1
8, 0.09043147889885353, 5.836515636541256e-07, 1.440990778772762, 1.0226272670752319, 10000000.0, 0.1
9, 0.08972744648703726, 7.162213063149055e-07, 1.4410549049985324, 1.0226012870867398, 10000000.0, 0.1
10, 0.0891485415069569, 6.313823011442338e-07, 1.4411199809677977, 1.0225895532976303, 10000000.0, 0.1
11, 0.08866189406883147, 4.2525003549453415e-07, 1.4411888816863119, 1.0225886424293311, 10000000.0, 0.1
12, 0.08823339175279087, 2.1179961971272243e-07, 1.441259799412455, 1.0225945521483313, 10000000.0, 0.1
13, 0.08783264740554908, 6.422883984346016e-08, 1.4413283699147907, 1.0226035450329105, 10000000.0, 0.1
14, 0.08743501158274543, 4.639826477091887e-09, 1.4413895239441243, 1.0226125147312075, 10000000.0, 0.1
15, 0.08702195341155448, 1.8006056675379957e-08, 1.4414387296911342, 1.0226190886933268, 10000000.0, 0.1
16, 0.08658078128364663, 7.161770658232968e-08, 1.4414726011570531, 1.0226216114850608, 10000000.0, 0.1
17, 0.08610427095961545, 1.3137637394687177e-07, 1.4414890003959897, 1.0226190851288302, 10000000.0, 0.1
18, 0.08559016482709216, 1.7239927651918604e-07, 1.4414868596303316, 1.0226110918178488, 10000000.0, 0.1
19, 0.08504029634409087, 1.8346751713490115e-07, 1.4414659474985223, 1.0225976979990916, 10000000.0, 0.1
20, 0.08445938407840803, 1.6599810626713827e-07, 1.4414267108565504, 1.022579343209071, 10000000.0, 0.1
21, 0.08385380579260802, 1.295392958942673e-07, 1.4413702180691716, 1.0225567286363861, 10000000.0, 0.1
22, 0.08323060360727186, 8.637911974907507e-08, 1.4412981730762084, 1.0225307185805583, 10000000.0, 0.1
23, 0.08259678687381307, 4.7272691827665605e-08, 1.4412129608857345, 1.0225022592306527, 10000000.0, 0.1
24, 0.08195888936032295, 1.9132540733895884e-08, 1.441117692168579, 1.0224723134421008, 10000000.0, 0.1
25, 0.08132270772750248, 4.5392423537124954e-09, 1.4410162135612485, 1.022441808558188, 10000000.0, 0.1
26, 0.08069315353180001, 2.4527220246907705e-09, 1.4409130384724647, 1.0224115945528702, 10000000.0, 0.1
27, 0.08007416566694552, 9.473050427529803e-09, 1.4408131446970749, 1.0223824104534176, 10000000.0, 0.1
28, 0.07946864858105653, 2.1182225450423057e-08, 1.4407216012290596, 1.0223548578695052, 10000000.0, 0.1
29, 0.07887842475018587, 3.329771890704635e-08, 1.4406430410218887, 1.0223293815763959, 10000000.0, 0.1
30, 0.0783042130720826, 4.250154205221616e-08, 1.440581075799872, 1.022306258239831, 10000000.0, 0.1
31, 0.07774565761926508, 4.688583267736957e-08, 1.440537807079609, 1.0222855948751393, 10000000.0, 0.1
32, 0.07720142695361712, 4.6017315450854395e-08, 1.440513575580634, 1.0222673379606924, 10000000.0, 0.1
33, 0.07666938663359053, 4.0686756691952366e-08, 1.4405070073183361, 1.0222512925260403, 10000000.0, 0.1
34, 0.07614682724194367, 3.24628062812342e-08, 1.4405153119552359, 1.0222371488857627, 10000000.0, 0.1
35, 0.07563071685476852, 2.3190329998773907e-08, 1.4405347259744221, 1.0222245137171209, 10000000.0, 0.1
36, 0.07511794442143309, 1.4554052231070195e-08, 1.440560987387816, 1.02221294209486, 10000000.0, 0.1
37, 0.07460552759308287, 7.781664286756921e-09, 1.4405897595566983, 1.0222019677291163, 10000000.0, 0.1
38, 0.07409077054721558, 3.5084785361581836e-09, 1.4406169613383515, 1.022191129652229, 10000000.0, 0.1
39, 0.07357136928526298, 1.7858231530351752e-09, 1.440638992825443, 1.0221799945973955, 10000000.0, 0.1
40, 0.07304547021669223, 2.1940923117836665e-09, 1.4406528661445528, 1.0221681750382925, 10000000.0, 0.1
41, 0.07251169141812011, 4.015608382525387e-09, 1.4406562607314228, 1.0221553432078119, 10000000.0, 0.1
42, 0.07196911572571799, 6.4255426761816e-09, 1.4406475252201654, 1.0221412414332671, 10000000.0, 0.1
43, 0.07141726285606721, 8.665906472803141e-09, 1.4406256463533487, 1.0221256889600248, 10000000.0, 0.1
44, 0.07085604595094627, 1.0176133311381419e-08, 1.440590201337444, 1.0221085852544674, 10000000.0, 0.1
45, 0.07028571713790233, 1.0664129557994133e-08, 1.440541305369304, 1.0220899097065796, 10000000.0, 0.1
46, 0.06970680661450289, 1.0113803349807758e-08, 1.4404795614922419, 1.0220697177369462, 10000000.0, 0.1
47, 0.06912005964861904, 8.73742810793983e-09, 1.4404060157876275, 1.0220481335163747, 10000000.0, 0.1
48, 0.06852637521598216, 6.891028778848749e-09, 1.4403221171688507, 1.022025339746687, 10000000.0, 0.1
49, 0.06792674874912334, 4.975848789261816e-09, 1.4402296777360384, 1.0220015651465557, 10000000.0, 0.1
50, 0.06732221998442015, 3.3480305442504684e-09, 1.4401308269895943, 1.0219770703887368, 10000000.0, 0.1
51, 0.06671382559641945, 2.2530242526997954e-09, 1.440027951651384, 1.0219521332412274, 10000000.0, 0.1
52, 0.06610255555912686, 1.793234780416085e-09, 1.439923613049657, 1.021927033606249, 10000000.0, 0.1
53, 0.06548931218198405, 1.9294008256193993e-09, 1.4398204366300928, 1.0219020390734224, 10000000.0, 0.1
54, 0.06487487153854891, 2.5098066160643357e-09, 1.4397209734509673, 1.0218773915453097, 10000000.0, 0.1
55, 0.0642598483041622, 3.317353554657255e-09, 1.4396275409845312, 1.0218532954688286, 10000000.0, 0.1
56, 0.06364466640593967, 4.122821070210855e-09, 1.4395420585336125, 1.0218299081997682, 10000000.0, 0.1
57, 0.06302953884158984, 4.733106362142365e-09, 1.439465898520405, 1.0218073330034778, 10000000.0, 0.1
58, 0.06241446011206564, 5.025546413368164e-09, 1.4393997762636745, 1.021785615114276, 10000000.0, 0.1
59, 0.061799213763010244, 4.963144810245082e-09, 1.4393436964049382, 1.0217647411195327, 10000000.0, 0.1
60, 0.06118339570742782, 4.589949314679699e-09, 1.439296964838746, 1.0217446417128864, 10000000.0, 0.1
61, 0.060566451765980925, 4.010031289187824e-09, 1.4392582637191669, 1.0217251976127157, 10000000.0, 0.1
62, 0.059947725796779996, 3.3565903877226925e-09, 1.4392257772845283, 1.0217062482149264, 10000000.0, 0.1
63, 0.059326513393679475, 2.7590408801073095e-09, 1.439197350320521, 1.0216876023812327, 10000000.0, 0.1
64, 0.05870211567016362, 2.3154153929741194e-09, 1.4391706597507834, 1.0216690506702026, 10000000.0, 0.1
65, 0.058073888093159526, 2.0753984691061797e-09, 1.4391433822192696, 1.021650378288571, 10000000.0, 0.1
66, 0.057441280456017686, 2.0364046521094193e-09, 1.4391133449581903, 1.0216313780501205, 10000000.0, 0.1
67, 0.05680386556597697, 2.152035546487108e-09, 1.439078652106611, 1.021611862653792, 10000000.0, 0.1
68, 0.056161355775535514, 2.3496019777176908e-09, 1.4390377828494019, 1.0215916756193932, 10000000.0, 0.1
69, 0.055513607888304596, 2.551660905292173e-09, 1.4389896607675485, 1.0215707002541403, 10000000.0, 0.1
70, 0.054860618063442855, 2.696006001246304e-09, 1.4389336955578016, 1.0215488660856946, 10000000.0, 0.1
71, 0.054202509019297435, 2.749357892148157e-09, 1.4388697989555912, 1.0215261523081334, 10000000.0, 0.1
