Epoch, l_theta, l_f, l_top, l_bottom, weight_f, weight_flux
0, 0.09493142307191184, 5.272536969582622e-06, 0.00014408970895559998, 1.022606252195402, 100.0, 1e-05
1, 0.0894569116692485, 1.1264797263336552e-05, 0.00014417377330895646, 1.022351683132312, 100.0, 1e-05
2, 0.0840072272367192, 1.9051739631144814e-05, 0.00014426912185602127, 1.0220664818745335, 100.0, 1e-05
3, 0.07849107539665051, 2.849948728469131e-05, 0.00014438364176954489, 1.0217299670944557, 100.0, 1e-05
4, 0.07287794442313383, 3.938698882924926e-05, 0.00014453374225318258, 1.0213196760178498, 100.0, 1e-05
5, 0.06719717125927832, 5.1098697114691315e-05, 0.00014473431048078788, 1.0208137715221641, 100.0, 1e-05
6, 0.06150427408498352, 6.289531796644587e-05, 0.00014500154641052326, 1.0201849796787448, 100.0, 1e-05
7, 0.05586210631235711, 7.40935427166217e-05, 0.00014535348086498677, 1.0193975707635945, 100.0, 1e-05
8, 0.050333569247757705, 8.418935410495948e-05, 0.0001458100659788832, 1.018405035475621, 100.0, 1e-05
9, 0.04497803783700597, 9.299994269591091e-05, 0.00014639279839244424, 1.0171473261730284, 100.0, 1e-05
10, 0.03985006519211012, 0.00010086028741212538, 0.00014712338305606805, 1.0155477498439562, 100.0, 1e-05
11, 0.034998314039873336, 0.00010887816178730515, 0.000148021323166002, 1.0135099010938948, 100.0, 1e-05
12, 0.030463838542746306, 0.00011923408925703686, 0.00014910107289096196, 1.0109149013707128, 100.0, 1e-05
13, 0.0262785533698856, 0.00013548911670840927, 0.0001503709748101913, 1.007619156108929, 100.0, 1e-05
14, 0.022464505301430134, 0.0001626659510416386, 0.00015184284294002048, 1.0034533536174421, 100.0, 1e-05
15, 0.019033912262804882, 0.0002066798327815206, 0.00015350907295282455, 0.9982237907051554, 100.0, 1e-05
16, 0.01598976649918096, 0.0002741952863926947, 0.00015530183071917452, 0.991716956225018, 100.0, 1e-05
17, 0.013326847147718333, 0.0003721900345963235, 0.00015714920415922187, 0.9837081471689496, 100.0, 1e-05
18, 0.011032946395141614, 0.0005067681520344071, 0.00015898918116548987, 0.9739747333304177, 100.0, 1e-05
19, 0.00909009834856936, 0.000681098299271313, 0.00016076983029313332, 0.9623145687868849, 100.0, 1e-05
20, 0.007475647706140276, 0.0008928650231604578, 0.0001624436212714256, 0.94856972224759, 100.0, 1e-05
21, 0.006163118723699713, 0.001132056830073334, 0.00016396580228892648, 0.9326545756758979, 100.0, 1e-05
22, 0.005122968915186854, 0.001380136250784897, 0.0001652972719727864, 0.9145849142956028, 100.0, 1e-05
23, 0.0043233803065799905, 0.0016117598143261377, 0.00016640875024683522, 0.8945006181433438, 100.0, 1e-05
24, 0.0037312364851900493, 0.0017995628402731792, 0.0001672841740621258, 0.8726699758814259, 100.0, 1e-05
25, 0.0033133320566794506, 0.0019209305184952061, 0.00016792239301204978, 0.849464937195291, 100.0, 1e-05
26, 0.0030377004672614747, 0.00196411200245469, 0.0001683368747868282, 0.8253084823395479, 100.0, 1e-05
27, 0.0028748373428806595, 0.0019308995528339841, 0.00016855339948751, 0.8006094056712602, 100.0, 1e-05
28, 0.002798600623160834, 0.0018347881337707466, 0.0001686060884248822, 0.7757050223167741, 100.0, 1e-05
29, 0.002786672649153678, 0.0016958820186701135, 0.00016853262079397427, 0.7508262960683068, 100.0, 1e-05
30, 0.002820605136543923, 0.001535121176034405, 0.0001683697301189058, 0.7260885692021256, 100.0, 1e-05
31, 0.002885559783106561, 0.0013700205798789621, 0.00016814985485261587, 0.7015020493756043, 100.0, 1e-05
32, 0.002969879623938273, 0.0012127667801060586, 0.0001678993226557617, 0.6769929176063684, 100.0, 1e-05
33, 0.0030646012586375312, 0.0010702936896621305, 0.00016763795176565993, 0.6524271960980261, 100.0, 1e-05
34, 0.003162978387174608, 0.0009454340075697312, 0.00016737964171269917, 0.6276325039433154, 100.0, 1e-05
35, 0.0032600528671917614, 0.0008383322584360487, 0.00016713345414454017, 0.6024155777045535, 100.0, 1e-05
36, 0.0033522863168761975, 0.0007476498796713856, 0.00016690479131670417, 0.5765755047742441, 100.0, 1e-05
37, 0.003437251961617681, 0.0006714078724702704, 0.00016669644631481966, 0.5499138592999352, 100.0, 1e-05
38, 0.0035133805406250963, 0.0006074942092563013, 0.0001665094371463444, 0.5222432515730805, 100.0, 1e-05
39, 0.003579752551029148, 0.0005539273529659316, 0.0001663436207774639, 0.49339566954405256, 100.0, 1e-05
40, 0.0036359293579070117, 0.00050896661049701, 0.00016619812132484042, 0.4632318254841625, 100.0, 1e-05
41, 0.0036818165596702373, 0.0004711368353546651, 0.00016607161611286844, 0.4316525872501929, 100.0, 1e-05
42, 0.003717554061693374, 0.00043921066780238207, 0.00016596251932096757, 0.3986134131922509, 100.0, 1e-05
43, 0.0037434283860099575, 0.00041217318050286824, 0.00016586909479125806, 0.3641424561696948, 100.0, 1e-05
44, 0.0037598037013780983, 0.00038918197827097426, 0.00016578952148317018, 0.3283625762726337, 100.0, 1e-05
45, 0.0037670688188788854, 0.0003695289004451202, 0.0001657219283644003, 0.29151679334203634, 100.0, 1e-05
46, 0.003765597944364034, 0.00035260577299071064, 0.00016566441024797103, 0.2539955718761776, 100.0, 1e-05
47, 0.003755723343798077, 0.00033787486495732516, 0.00016561503182502689, 0.21636258969819047, 100.0, 1e-05
48, 0.0037377183435727567, 0.00032484399265229734, 0.00016557182347124125, 0.17937313982382902, 100.0, 1e-05
49, 0.0037117894043136837, 0.0003130461084294706, 0.00016553276910489663, 0.14397600409625372, 100.0, 1e-05
50, 0.0036780766381068037, 0.00030202348281092736, 0.00016549578377923524, 0.11128578471318194, 100.0, 1e-05
51, 0.0036366635469485837, 0.00029131721676624555, 0.00016545867828185657, 0.08250928790565572, 100.0, 1e-05
52, 0.0035875996663011023, 0.0002804639898627441, 0.00016541911329532945, 0.05880913767117769, 100.0, 1e-05
53, 0.003530945007642838, 0.0002690039965581783, 0.00016537456268787002, 0.0410955380590993, 100.0, 1e-05
54, 0.0034668524966514095, 0.00025650696677777983, 0.00016532234026723694, 0.02976149889962426, 100.0, 1e-05
55, 0.003395709264987945, 0.00024262503657895758, 0.00016525978953213562, 0.02442604369869818, 100.0, 1e-05
56, 0.0033183442620709803, 0.00022717504198156453, 0.0001651847386078038, 0.023815145497303254, 100.0, 1e-05
57, 0.0032362561456264816, 0.00021022851994250696, 0.00016509617557393036, 0.025934858900420375, 100.0, 1e-05
58, 0.003151738272538515, 0.00019215420783982802, 0.00016499480948677236, 0.028580581581701157, 100.0, 1e-05
59, 0.003067773377616872, 0.00017356214180571194, 0.00016488309692534804, 0.029989235534909058, 100.0, 1e-05
60, 0.0029876932777871176, 0.0001551629964665968, 0.00016476468939422196, 0.02929865524274608, 100.0, 1e-05
61, 0.002914728122369298, 0.0001376142290206333, 0.00016464366441930542, 0.026606020627820182, 100.0, 1e-05
62, 0.002851587161143992, 0.00012141628762195867, 0.00016452390082438709, 0.02267710912783969, 100.0, 1e-05
63, 0.0028001546966606975, 0.0001068762177606176, 0.00016440871950160055, 0.018514535966158003, 100.0, 1e-05
64, 0.0027613281697359817, 9.412199291925311e-05, 0.00016430073907581168, 0.014983977390201592, 100.0, 1e-05
65, 0.0027349952458443575, 8.314215526822398e-05, 0.000164201856555997, 0.012601582204739318, 100.0, 1e-05
66, 0.0027201330840724144, 7.383115169031313e-05, 0.0001641132897519847, 0.011489867459347151, 100.0, 1e-05
67, 0.002715003325982101, 6.602951589901378e-05, 0.00016403565092076345, 0.011452930080883363, 100.0, 1e-05
68, 0.002717407424759838, 5.955467609166162e-05, 0.00016396903844919202, 0.012106652430436456, 100.0, 1e-05
69, 0.0027249616279787724, 5.4221990213430344e-05, 0.00016391313764645233, 0.01301122981425686, 100.0, 1e-05
70, 0.002735352503729373, 4.985741809970578e-05, 0.00016386732131040704, 0.01377516979504672, 100.0, 1e-05
71, 0.0027465425862369837, 4.630385609354254e-05, 0.0001638307412712802, 0.014119991270085435, 100.0, 1e-05
72, 0.002756908699756729, 4.342313441456472e-05, 0.00016380240484229367, 0.013907806601555814, 100.0, 1e-05
73, 0.002765308930857522, 4.109534954191334e-05, 0.00016378123382841637, 0.013139610151786203, 100.0, 1e-05
74, 0.0027710850463179455, 3.921678662456634e-05, 0.00016376610706583678, 0.011932819568555186, 100.0, 1e-05
75, 0.00277401402196934, 3.769730573617488e-05, 0.000163755889744618, 0.010485211078639542, 100.0, 1e-05
76, 0.0027742253164931793, 3.6457775360952025e-05, 0.00016374945400383716, 0.00903091226849976, 100.0, 1e-05
77, 0.0027721004719929686, 3.542794041815212e-05, 0.0001637456957145524, 0.007793625476076501, 100.0, 1e-05
78, 0.002768169656117833, 3.4544983185552226e-05, 0.00016374355216247993, 0.006942912768786328, 100.0, 1e-05
79, 0.0027630168253277246, 3.37529312182905e-05, 0.00016374202450021341, 0.006560564546515042, 100.0, 1e-05
80, 0.002757201903802242, 3.300294221987548e-05, 0.00016374020715068598, 0.00662454078389113, 100.0, 1e-05
81, 0.0027512050255846837, 3.2254323389130646e-05, 0.0001637373236085511, 0.007016187895993225, 100.0, 1e-05
82, 0.002745394560549513, 3.1475934768398875e-05, 0.0001637327645529106, 0.007551440102443321, 100.0, 1e-05
