Epoch, l_theta, l_f, l_top, l_bottom
0, 0.09512638681534266, 4.321289105644173e-06, 1.4409597958282976, 1.022606252195402
1, 0.09555439362119553, 9.381712776373164e-09, 1.441370679458172, 1.0227922984980524
2, 0.09553604931627994, 1.7700896094248966e-06, 1.4416045967395203, 1.0228889261344272
3, 0.09503328748418031, 2.0176210053069e-06, 1.4417013269754688, 1.0228953579861313
4, 0.09428167994985602, 9.832999352727188e-07, 1.441731786304006, 1.02285757288476
5, 0.09344206246389027, 1.7857048118467167e-07, 1.4417327194800844, 1.0228015949608427
6, 0.09259743519524863, 1.1360754142443015e-08, 1.441726588672812, 1.0227422789603047
7, 0.09179268232401794, 2.4368214038137563e-07, 1.4417287394621172, 1.0226895481867126
8, 0.09105077859602126, 5.164786730480134e-07, 1.441747978998975, 1.0226494149104808
9, 0.09037777084974943, 6.207314037005146e-07, 1.441785989713603, 1.0226237021312643
10, 0.08976712318526689, 5.390550523738867e-07, 1.441838896420685, 1.0226108548118271
11, 0.0892055243667234, 3.5857073467869667e-07, 1.4419003936740578, 1.0226075755887944
12, 0.08867755346009892, 1.7645385764978413e-07, 1.4419643379444127, 1.0226101704962949
13, 0.08816844999518969, 5.241466040749805e-08, 1.4420259863736788, 1.0226153027942972
14, 0.08766546230116416, 2.6949776885203827e-09, 1.4420821913709534, 1.022620291050955
15, 0.08715835433016128, 1.3482867355120447e-08, 1.4421311003662693, 1.022623153516734
16, 0.08663955802484631, 5.75477193842476e-08, 1.4421717599877937, 1.0226225471064558
17, 0.08610422240667222, 1.0727425180165273e-07, 1.4422038136681166, 1.0226176814429961
18, 0.08555012882500242, 1.4263560335381289e-07, 1.4422273265058563, 1.0226082340852782
19, 0.0849773779054433, 1.543196958254489e-07, 1.44224269417195, 1.022594265653947
20, 0.08438786649497132, 1.4284045009209148e-07, 1.4422505840566535, 1.0225761322552895
21, 0.0837846730027564, 1.1515366071095355e-07, 1.44225188296894, 1.0225543991524697
22, 0.08317147914239356, 8.061556300492121e-08, 1.4422476464796223, 1.0225297615862685
23, 0.08255210233629338, 4.772379694897672e-08, 1.4422390514855876, 1.022502976588637
24, 0.08193015820351476, 2.2279981521859254e-08, 1.442227353163851, 1.0224748071185532
25, 0.08130884300200442, 6.902686053774614e-09, 1.4422138451696223, 1.0224459783449649
26, 0.08069081500299524, 1.4538872278304886e-09, 1.4421998200490616, 1.0224171451724053
27, 0.0800781503197473, 3.898974794733598e-09, 1.442186526537696, 1.0223888697005845
28, 0.07947234781588977, 1.124690542301844e-08, 1.4421751219490972, 1.022361607104906
29, 0.07887435996536184, 2.0370058074301864e-08, 1.4421666207028165, 1.022335698466731
30, 0.07828463274460354, 2.8612544773350563e-08, 1.4421618431411394, 1.0223113693651396
31, 0.07770314644062798, 3.415647938957843e-08, 1.4421613709286103, 1.0222887334254693
32, 0.07712945782939847, 3.6150963760293864e-08, 1.4421655156010393, 1.0222678002854624
