Epoch, l_theta, l_f, l_top, l_bottom
0, 0.09512638681534266, 5.163544909504286e-06, 0.00014409597958282976, 1.022606252195402
1, 0.09560803399432269, 5.954810763388089e-09, 0.00014413538425080027, 1.0227787971812377
2, 0.09564340191067552, 1.867556301042118e-06, 0.00014415907402831428, 1.022873263300293
3, 0.09509799259964356, 2.3923879350973793e-06, 0.00014417075046522392, 1.0228811683961574
4, 0.0942649062160783, 1.302253479340802e-06, 0.00014417631575091018, 1.0228444584346512
5, 0.09333240653818758, 3.102966000132782e-07, 0.00014417901036488997, 1.0227882833034407
6, 0.0924005428829481, 3.444853275264385e-09, 0.00014418073054811096, 1.0227271314073967
7, 0.09152607794279471, 2.0002979740192892e-07, 0.00014418274056872141, 1.0226709874822184
8, 0.09073815372002321, 5.170469100698545e-07, 0.00014418582682822377, 1.0226263722621087
9, 0.09004391695727272, 6.89433157551247e-07, 0.00014419027882070338, 1.022595998000693
10, 0.0894345987744382, 6.529605836242633e-07, 0.00014419594650716777, 1.0225791662392394
11, 0.08889287259831376, 4.77656046225715e-07, 0.00014420242419473352, 1.0225731260201683
12, 0.08839855408249138, 2.6868373853628626e-07, 0.00014420924709934222, 1.0225743953762547
13, 0.08793202149784655, 1.0414934243022475e-07, 0.0001442160155474946, 1.0225795877887405
14, 0.08747599705578589, 1.7259333785674446e-08, 0.00014422244272016714, 1.0225857984963698
15, 0.08701631896404942, 4.333669691812962e-09, 0.00014422835368190447, 1.0225907269463161
16, 0.08654219367046698, 4.085998464850639e-08, 0.0001442336620639616, 1.0225926760848572
17, 0.08604629369240892, 9.628113326551128e-08, 0.00014423834178311332, 1.022590511961669
18, 0.08552476312059927, 1.4457025147198295e-07, 0.00014424240321214628, 1.022583615876396
19, 0.0849769706948046, 1.7003788719598896e-07, 0.00014424587714543372, 1.0225718253957057
20, 0.08440491855277489, 1.6849652050462685e-07, 0.0001442488057756154, 1.0225553549863948
21, 0.08381242586269978, 1.4478469864914575e-07, 0.00014425123842347733, 1.022534702422432
22, 0.08320430489253247, 1.0850869931232393e-07, 0.00014425323012448428, 1.0225105555344365
23, 0.08258568223838643, 6.990551094673071e-08, 0.0001442548418302964, 1.0224837095455899
24, 0.08196151333643142, 3.701300484588622e-08, 0.00014425614131947391, 1.0224549986597216
25, 0.08133627425103435, 1.4437026606090874e-08, 0.0001442572040075861, 1.022425241936161
26, 0.08071379133985179, 3.3914897648658056e-09, 0.0001442581128999362, 1.0223952021288267
27, 0.0800971666985474, 2.473719230219533e-09, 0.0001442589570704511, 1.0223655556762807
28, 0.07948876217891307, 8.70391230750597e-09, 0.0001442598283341105, 1.0223368718964458
29, 0.07889021335151036, 1.85259957189654e-08, 0.0001442608161977499, 1.0223095996652476
30, 0.07830245631350712, 2.8615412158398504e-08, 0.0001442620016588326, 1.0222840604048857
31, 0.07772576230674594, 3.642980216887215e-08, 0.00014426345085112097, 1.0222604468371435
32, 0.07715978422678275, 4.048722379241285e-08, 0.00014426520972613203, 1.0222388273581229
33, 0.07660362280325488, 4.039052971217868e-08, 0.00014426730075571583, 1.0222191558677907
34, 0.07605591788283038, 3.664852170721982e-08, 0.00014426972210345758, 1.0222012864752152
35, 0.07551496351927918, 3.0370418629640804e-08, 0.00014427244911869466, 1.0221849919342187
36, 0.07497883813164119, 2.292003014312757e-08, 0.000144275437607576, 1.022169984235132
37, 0.07444553648301873, 1.5605457155783302e-08, 0.00014427862819144685, 1.0221559356735357
38, 0.07391309020190344, 9.45420824528186e-09, 0.00014428195110671174, 1.0221424989504602
39, 0.07337966713556322, 5.092969675103507e-09, 0.00014428533094423883, 1.0221293253071202
40, 0.07284364488292032, 2.7257054868914756e-09, 0.0001442886910020208, 1.0221160801875664
41, 0.0723036584158945, 2.1881754107727598e-09, 0.00014429195708587668, 1.0221024563110244
42, 0.07175862463891594, 3.051052506440729e-09, 0.00014429506071312402, 1.022088184250754
43, 0.07120774791106756, 4.744458209392293e-09, 0.00014429794174498643, 1.0220730406623377
44, 0.07065051051607661, 6.680596536188286e-09, 0.0001443005505002741, 1.0220568542396185
45, 0.07008665158821831, 8.356291664258119e-09, 0.00014430284939861434, 1.0220395093806367
46, 0.06951613764301492, 9.423031710566133e-09, 0.00014430481416135063, 1.0220209474887054
