Epoch, l_theta, l_f, l_top, l_bottom
0, 0.09512638681534266, 5.163544909504286e-06, 0.00014409597958282976, 1.022606252195402
1, 0.0893635442711552, 1.0965975218022123e-05, 0.00014416035203196535, 1.022356045603017
2, 0.08365337333330297, 1.8588739278619044e-05, 0.0001442321300303696, 1.0220754327601267
3, 0.07791794398239443, 2.7951077816603087e-05, 0.0001443154051106124, 1.0217480296337218
4, 0.07213612678283451, 3.8986198847387784e-05, 0.0001444151389752655, 1.021352500676616
5, 0.06633484704255192, 5.133145852062661e-05, 0.00014453721771176168, 1.0208672910486147
6, 0.060568418065315335, 6.441707131888908e-05, 0.00014468819177704525, 1.0202670891263894
7, 0.05489761044819778, 7.762267165933904e-05, 0.00014487527744885999, 1.019519522647526
8, 0.049380797328957254, 9.03510983204115e-05, 0.0001451063905176729, 1.0185827367548121
9, 0.044070803733333795, 0.00010207110646441438, 0.00014539009209416591, 1.0174028385198504
10, 0.039014426517176654, 0.00011234617411425204, 0.00014573531199673392, 1.015911482797421
11, 0.03425200553838698, 0.00012086585264225671, 0.0001461508293645639, 1.0140235011806313
12, 0.029816451846920104, 0.0001274895022852521, 0.00014664459057855915, 1.0116346131267333
13, 0.0257324342344885, 0.00013230442850943746, 0.0001472229651125739, 1.0086197807609993
14, 0.022016100028933235, 0.00013569612265046372, 0.0001478900341936198, 1.0048329404224754
15, 0.018675232814700418, 0.00013841779674686743, 0.00014864706347355553, 1.0001086938149981
16, 0.01570977463081215, 0.00014164006193960292, 0.00014949244338834564, 0.9942666500851901
17, 0.013112677219127424, 0.0001469615671233624, 0.0001504224950039752, 0.9871189274792354
18, 0.010870944237253021, 0.0001563448293102334, 0.0001514332777963971, 0.9784809611229243
19, 0.008966676935320831, 0.00017193196017218978, 0.0001525178339735787, 0.968185415177623
20, 0.007378021121118633, 0.0001958028628823998, 0.00015365837311317915, 0.9560984179173231
21, 0.0060800193152725345, 0.00022968896621802963, 0.00015482886265591708, 0.9421366393743614
22, 0.005045410425029938, 0.0002746083075801088, 0.00015599985044230957, 0.9262831734813396
23, 0.0042454111193361505, 0.000330441314667732, 0.00015714213288111996, 0.908599910704175
24, 0.0036504901033970892, 0.00039555223280380837, 0.00015822851009878814, 0.8892342193574505
25, 0.0032311245565899813, 0.0004666247726303439, 0.000159234819350551, 0.8684183625602903
26, 0.002958514152263536, 0.0005388276922894956, 0.00016014138352147346, 0.8464610919275178
27, 0.002805223542960075, 0.0006063370057808339, 0.0001609344801488234, 0.8237320659758205
28, 0.0027457269309131447, 0.0006631486443447584, 0.000161607191817111, 0.8006408556545191
29, 0.002756835374770499, 0.0007040287605616267, 0.00016215939309135863, 0.777613063135672
30, 0.002817996253590415, 0.0007253912384995658, 0.00016259696638158883, 0.7550663435689882
